# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1559193234.57411 0.000990 0.001462 0.000135 0.020353 0.002581 -0.707085 0.706831 0.0008297738 -0.0000000000 0.0000000000 0.0008297738 -0.0000000000 0.0008297738 0.0151327413 -0.0000000006 -0.0000021265 0.0151327408 -0.0000034199 0.0027357211
1559193234.67410 0.005127 0.002861 -0.001146 0.020078 0.002858 -0.707575 0.706347 0.0000334904 -0.0000003018 -0.0000120026 0.0000333346 0.0000092978 0.0004028819 0.0034760893 -0.0000000006 -0.0000001540 0.0034760889 -0.0000002362 0.0027224149
1559193234.77407 -0.002095 0.000955 -0.001796 0.020449 0.002399 -0.707269 0.706645 0.0000155721 -0.0000003152 -0.0000125360 0.0000154094 0.0000097109 0.0004013784 0.0029568430 -0.0000000006 -0.0000000574 0.0029568425 -0.0000000934 0.0027052776
1559193234.87409 0.001516 0.001142 -0.001469 0.020279 0.002652 -0.707257 0.706660 0.0000114127 -0.0000003184 -0.0000126650 0.0000112483 0.0000098109 0.0004011887 0.0028374506 -0.0000000006 -0.0000000360 0.0028374502 -0.0000000605 0.0026933053
1559193234.97403 0.000589 0.000247 -0.001426 0.020418 0.002678 -0.707267 0.706646 0.0000095779 -0.0000003199 -0.0000127234 0.0000094127 0.0000098561 0.0004011510 0.0027852863 -0.0000000006 -0.0000000270 0.0027852858 -0.0000000461 0.0026845659
1559193235.07385 0.000602 0.001200 -0.001519 0.020357 0.002606 -0.707265 0.706651 0.0000085541 -0.0000003207 -0.0000127564 0.0000083885 0.0000098816 0.0004011422 0.0027563243 -0.0000000006 -0.0000000222 0.0027563239 -0.0000000381 0.0026779757
1559193235.17392 0.000443 0.000766 -0.001845 0.020393 0.002618 -0.707262 0.706653 0.0000079052 -0.0000003213 -0.0000127774 0.0000077393 0.0000098979 0.0004011397 0.0027380000 -0.0000000006 -0.0000000192 0.0027379995 -0.0000000330 0.0026728640
1559193235.27390 0.000244 0.000064 -0.001440 0.020455 0.002653 -0.707263 0.706650 0.0000074627 -0.0000003216 -0.0000127917 0.0000072966 0.0000099090 0.0004011387 0.0027255130 -0.0000000006 -0.0000000172 0.0027255126 -0.0000000295 0.0026688380
1559193235.37399 0.001541 0.000216 -0.001260 0.020357 0.002730 -0.707264 0.706651 0.0000071442 -0.0000003219 -0.0000128020 0.0000069780 0.0000099170 0.0004011381 0.0027165281 -0.0000000006 -0.0000000158 0.0027165276 -0.0000000270 0.0026656124
1559193235.47401 0.000398 0.000432 -0.001681 0.020418 0.002639 -0.707262 0.706652 0.0000069068 -0.0000003221 -0.0000128097 0.0000067405 0.0000099230 0.0004011376 0.0027098322 -0.0000000006 -0.0000000148 0.0027098317 -0.0000000251 0.0026630024
1559193235.57384 -0.000307 -0.000342 -0.001354 0.020517 0.002644 -0.707261 0.706650 0.0000067251 -0.0000003222 -0.0000128156 0.0000065588 0.0000099276 0.0004011373 0.0027047068 -0.0000000006 -0.0000000140 0.0027047063 -0.0000000237 0.0026608717
1559193235.67404 0.000054 0.006434 0.000706 0.020042 0.002216 -0.707263 0.706663 0.0000065823 -0.0000003224 -0.0000128203 0.0000064159 0.0000099311 0.0004011371 0.0027006788 -0.0000000006 -0.0000000134 0.0027006784 -0.0000000226 0.0026591090
1559193235.77404 -0.000118 0.006160 0.000467 0.019837 0.001976 -0.707287 0.706646 0.0000065542 -0.0000003081 -0.0000121973 0.0000064296 0.0000099782 0.0004011857 0.0027589849 0.0000000003 -0.0000000015 0.0027589697 -0.0000000883 0.0027019894
