# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1559193236.075423717498779,0.01020,0.00048,0.00068,0.00000,0.00000,0.00102,0.01238
1559193236.176561594009399,0.00999,0.00040,0.00193,0.00000,0.01524,0.00040,0.02796
1559193236.275251865386963,0.02233,0.00105,0.00028,0.00967,0.00000,0.00059,0.03393
1559193236.374817371368408,0.01078,0.00050,0.00017,0.00541,0.00000,0.00053,0.01739
1559193236.474865436553955,0.02250,0.00068,0.00073,0.00705,0.00035,0.00097,0.03228
1559193236.574750661849976,0.00891,0.00041,0.00030,0.00417,0.00006,0.00065,0.01449
1559193236.674954175949097,0.02547,0.00083,0.00023,0.00749,0.00000,0.00114,0.03517
1559193236.774679183959961,0.00787,0.00036,0.00024,0.00343,0.00257,0.00068,0.01516
1559193236.876098155975342,0.02669,0.00089,0.00108,0.00725,0.00182,0.00073,0.03845
1559193236.975949048995972,0.00819,0.00035,0.00027,0.00392,0.00001,0.00067,0.01341
1559193237.074747562408447,0.00515,0.00024,0.00062,0.00266,0.00224,0.00050,0.01141
1559193237.175363063812256,0.00917,0.00046,0.00015,0.00539,0.00061,0.00084,0.01662
1559193237.275663375854492,0.02410,0.00082,0.00127,0.00702,0.00060,0.00081,0.03464
1559193237.375754833221436,0.00669,0.00033,0.00008,0.00381,0.00000,0.00062,0.01153
1559193237.476648569107056,0.02217,0.00093,0.00044,0.00757,0.00044,0.00093,0.03248
1559193237.577472209930420,0.01047,0.00042,0.00032,0.00450,0.00142,0.00099,0.01813
1559193237.677975654602051,0.01276,0.00054,0.00063,0.00587,0.00353,0.00112,0.02445
1559193237.779861211776733,0.01570,0.00068,0.00059,0.00571,0.00673,0.00146,0.03086
1559193237.881429195404053,0.02341,0.00062,0.00059,0.00381,0.00456,0.00069,0.03367
1559193237.985920667648315,0.00719,0.00029,0.00020,0.00208,0.00073,0.00065,0.01115
1559193238.082297801971436,0.00624,0.00026,0.00041,0.00155,0.00031,0.00047,0.00923
1559193238.181857585906982,0.02407,0.00091,0.00266,0.00434,0.00011,0.00090,0.03299
1559193238.283237457275391,0.02618,0.00072,0.00084,0.00299,0.00041,0.00091,0.03205
1559193238.383520364761353,0.00957,0.00044,0.00039,0.00146,0.00000,0.00067,0.01253
1559193238.483531713485718,0.00928,0.00039,0.00037,0.00109,0.00000,0.00060,0.01173
1559193238.583833932876587,0.01776,0.00064,0.00052,0.00206,0.00404,0.00139,0.02640
1559193238.683920383453369,0.01524,0.00060,0.00101,0.00255,0.00039,0.00099,0.02079
1559193238.783742666244507,0.01138,0.00047,0.00016,0.00176,0.00009,0.00081,0.01467
1559193238.883487939834595,0.03403,0.00062,0.00119,0.00189,0.00068,0.00071,0.03912
1559193238.984297990798950,0.00782,0.00030,0.00028,0.00090,0.00429,0.00082,0.01441
1559193239.084454298019409,0.00628,0.00023,0.00039,0.00099,0.00004,0.00036,0.00829
1559193239.184293031692505,0.01449,0.00055,0.00082,0.00228,0.00085,0.00110,0.02010
1559193239.284715175628662,0.01566,0.00057,0.00039,0.00198,0.00105,0.00109,0.02074
1559193239.383939027786255,0.01398,0.00058,0.00031,0.00201,0.00317,0.00109,0.02115
1559193239.483966112136841,0.02655,0.00083,0.00077,0.00328,0.00039,0.00110,0.03292
1559193239.583275556564331,0.01118,0.00042,0.00050,0.00121,0.00059,0.00079,0.01469
1559193239.682800531387329,0.02743,0.00104,0.00131,0.00194,0.00058,0.00139,0.03368
1559193239.784732818603516,0.01296,0.00055,0.00027,0.00126,0.00323,0.00086,0.01913
1559193239.882864952087402,0.02301,0.00056,0.00037,0.00169,0.00093,0.00082,0.02739
1559193239.982937097549438,0.00855,0.00028,0.00022,0.00073,0.00018,0.00047,0.01044
1559193240.083078384399414,0.00624,0.00025,0.00049,0.00054,0.00114,0.00047,0.00914
1559193240.181071996688843,0.02418,0.00093,0.00149,0.00244,0.00058,0.00157,0.03119
1559193240.281178951263428,0.02822,0.00070,0.00115,0.00121,0.00185,0.00096,0.03410
1559193240.381629467010498,0.00935,0.00039,0.00031,0.00111,0.00038,0.00084,0.01239
1559193240.481899738311768,0.00973,0.00045,0.00085,0.00089,0.00084,0.00069,0.01346
1559193240.582184314727783,0.01197,0.00051,0.00048,0.00147,0.00129,0.00114,0.01685
1559193240.682546138763428,0.01159,0.00063,0.00053,0.00158,0.00157,0.00083,0.01674
1559193240.782983303070068,0.01880,0.00072,0.00125,0.00234,0.00850,0.00083,0.03245
1559193240.882753610610962,0.02954,0.00073,0.00315,0.00285,0.00013,0.00116,0.03757
1559193240.982669591903687,0.00925,0.00038,0.00055,0.00172,0.00069,0.00087,0.01346
1559193241.082463026046753,0.00568,0.00024,0.00034,0.00103,0.00145,0.00083,0.00957
1559193241.182417154312134,0.01888,0.00048,0.00085,0.00220,0.00155,0.00072,0.02469
